19:06:15, 30 August 2005
FaceFileName,Rating,RateBin,Latency,Total Time,Subject
032,0.6843972,0.7,1.31999999999709,1.87,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
001,0.3617021,0.4,2.08999999999767,5.28,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
029,0.6684397,0.7,1.21000000000349,7.8,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
MVC-F2,0.391844,0.4,1.70000000000466,10.82,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
02F_NE_C,0.391844,0.4,1.43000000000058,13.57,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
034,0.7251773,0.8,1.92000000000058,16.81,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
027,9.751773E-02,0.1,1.86999999999534,20,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
003,0.822695,0.9,1.71000000000233,23.02,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
031,0.3741135,0.4,1.26999999999826,25.6,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
002,0.3546099,0.4,1.75000000000175,28.67,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
007,0.7322695,0.8,1.25999999999709,31.31,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
10F_NE_C,0.3297872,0.4,1.25999999999534,33.89,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
004,0.6046099,0.7,1.7599999999936,36.97,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
05F_NE_C,0.6276596,0.7,2.6900000000064,40.98,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
028,0.2411347,0.3,1.80999999999709,44.11,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
030,0.2659574,0.3,1.92000000000699,47.35,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
MVC-F1,0.3120568,0.4,1.97000000000175,50.64,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
033,0.3439716,0.4,1.0499999999936,53.01,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
005,0.177305,0.2,1.64999999999301,55.97,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
MVC-F23,0.7393617,0.8,1.5400000000064,58.83,C:\ac01_amc79\affSwitch\FaceRating\bob.csv
